moderator_id,chat_sessions_moderated,avg_response_time,user_satisfaction_score
d8ebcd7d-3075-46db-b26d-6cfcf5eed530,487,16.05,2
b9acd7b6-9fa9-41d3-ab75-f642059ebab6,361,10.57,4
f2085ef9-b916-4e0b-8f97-7dfca18c31ad,493,10.96,3
d7489d53-0a96-4de5-b2ac-0e349846b1c5,103,5.68,4
92c090af-e40b-4a12-979f-d7ddc810686c,330,12.64,5
40454813-56e2-437a-865c-43a03b1b6dea,436,5.35,3
fffe1342-6ebe-4458-8c56-eff147d66be5,48,7.97,2
c7ed4b14-0687-49b2-b929-e3daac3f0ab7,90,17.39,3
c615f178-eb3d-45cc-9b5d-399bed9ce90f,196,5.73,3
2e9cc52a-d59e-4556-9d37-c5f501c61745,93,3.28,4
f4938bf3-2a95-4dce-b8f4-03658ef613cd,97,3.24,3
48fc97da-a3bd-4be3-af57-df285c9ba00d,251,18.93,2
956a2f33-2b12-469d-8c0d-717929260301,351,11.12,2
61cb9865-afd7-4eb2-a82c-c77d8546b1c0,102,9.37,2
6676935a-0cc5-4dd6-a15e-9820037abceb,95,16.6,5
dfcc9749-dc59-408f-b605-eeebf119ca5e,53,17.04,4
bdc6928a-7809-459e-8369-e1f53da93148,146,15.96,1
59c2aae8-034f-4328-a878-d940f8a503a9,430,28.97,1
e7872416-80cb-4273-8445-62008303ee39,83,15.88,3
e5c967d6-289e-44f9-8d55-e9d2617e0887,45,13.78,2
6ac9de86-006d-45bf-adde-238879f8860c,110,4.73,2
3bcb2fe1-26e3-491a-8745-5f2791663051,485,17.77,2
973e01c9-bcaa-47c7-a2a1-e0c9c8078e8d,165,11.7,3
38790191-59cb-43ec-81aa-41e76ebc3cc3,435,7.08,5
64299ddd-d240-43e8-9054-25f78189bbff,264,9.65,2
2b85ea0c-ec66-4cab-85cc-5128d99e2a17,180,5.35,1
66d496d3-2465-481a-8619-f68829850cdf,478,4.3,4
076915e1-99b4-4968-8331-54350f1102b0,225,15.78,5
3ebd21aa-10ac-45b8-af2d-38a9a5cf17cf,179,2.0,3
94576ad0-2dba-45c2-9eb1-d824c582bfd2,261,9.5,3
c554991b-ce5f-4a57-93d2-a3dca90039aa,369,11.41,5
e6c12bb3-d72d-4683-8cb7-a2e408755b3e,331,2.98,4
3d7364ae-b059-4b7d-a62c-dcec9d2373c4,64,19.52,3
efe52e44-d72a-4d0f-82a6-dfde8321c51d,465,6.07,3
5e26e3e5-d1f8-4803-9810-ecdbf634c080,441,7.48,2
19a99b44-eb88-433b-adef-f109b2a5b61a,100,7.47,4
8e4cc3b5-70a3-472f-aa37-31cca485d1c9,287,6.15,4
f23dc20f-15ca-4d77-aca1-56c416729085,110,2.03,4
ff08cee3-dd5f-4844-bab1-9c1d2209ff31,164,15.13,2
9ff5909c-9a7c-4578-a0fa-04ac852170be,386,19.4,4
7f8b43f5-0152-4f7a-9faf-ae080017fe9a,358,6.04,2
c3f76036-879a-4b96-abca-a0fe289bae01,460,13.93,5
1de0004c-c52a-4f9d-b038-d89d0c0646fd,373,30.71,1
3a644330-7155-4f47-a6c4-d379a6618823,150,17.27,2
d096685d-325c-4508-a467-9fedb8bdf08c,182,9.61,3
c8adfc81-4687-422a-b46f-dbb98d9df508,19,7.45,2
6964bef5-9070-446c-b4e3-63e71f41712a,237,7.86,2
2b85b9a1-2d7a-4f6d-978f-2cb21e0447b0,274,14.83,4
34bf3ff2-34d3-4105-966f-ada0b1332093,447,16.7,5
63dce952-3c4a-4065-8262-a2d47a3b306b,257,5.27,2
bc3f54c9-169b-404c-85a2-b31dc3de766f,256,8.68,2
b427db6e-742a-412e-b454-6235fb059320,164,18.23,4
116daaf0-48b5-4419-bfb6-7554990e5b04,43,16.52,4
a142fb7d-4100-4e2a-afbe-0a763ae38f09,138,19.73,3
b86c6d0f-cb5f-418e-8f2e-b8cd87a85d1d,169,15.58,5
94cd72c7-08bf-404a-9659-5545af4883ab,98,18.16,1
d24a4bc1-f0cb-4abf-8057-ca63c14a4b19,102,12.63,4
83325d5d-fa49-4736-8ed3-a53346d6e071,336,13.9,2
77fc23ba-42ec-486f-8bb0-e9ef1499933a,250,3.41,2
4fa1a78d-d849-4e4c-a082-90d2c076f14e,332,11.8,5
f2d417f1-5eb6-4849-9d3a-2c965f0278a6,477,14.77,2
6ed567f1-772b-4615-9ca1-5bb42ee7a9c8,413,5.01,5
729ab283-4c69-4b48-ac2c-40533c4be293,126,16.05,5
71676997-8081-4f64-8c62-aba1523e41f1,103,12.51,3
6c21531c-1493-414c-a4c7-8d35a2339fb7,172,19.14,2
a9257d0d-7007-41bb-a336-5fe0d3a2f1c5,108,2.76,2
f747bcc4-f069-47da-a0c1-922e5e35c5c2,122,6.78,2
45fbb3a6-6964-4ff0-80ee-6261a884f71f,368,12.83,4
6d5f5120-c4a9-4ca7-bc61-66c5007dd590,100,7.34,5
79e74b69-af51-44cf-8df8-5edbbbf6d562,355,14.86,4
c29eb4ef-b90d-4129-b671-c5429483d85d,215,15.66,2
89798e7c-c01b-4dfb-af41-d841ec5d0698,26,3.85,3
